stage,target,feature_family,priority,target_role,task,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes
displacement,history_recent_choices,history,1,primary,macro,0.01,0.3533785714173785,0.3045702823751791,0.6996421235469382,3.0,2477,314
displacement,history_recent_choices,history,1,primary,bandit,0.01,0.1717722532210535,0.3903184800445924,0.6787105994240247,,1800,78
displacement,history_recent_choices,history,1,primary,foraging,0.01,0.31274445316053556,0.3169122397953093,0.6397109258011694,,364,118
displacement,history_recent_choices,history,1,primary,solvability,0.01,0.5756190078705463,0.20648012728563558,0.7805048454156207,,313,118
displacement,time_effort,time_effort,2,primary,macro,0.01,0.05574320733120316,0.44144232972554137,0.5296901809406038,3.0,2477,314
displacement,time_effort,time_effort,2,primary,bandit,0.01,-0.04375839367233292,0.7923236766990143,0.3951780226418978,,1800,78
displacement,time_effort,time_effort,2,primary,foraging,0.01,0.19282487405446502,0.3157241749283411,0.5500340856810585,,364,118
displacement,time_effort,time_effort,2,primary,solvability,0.01,0.018163141611477363,0.21627913754926875,0.643858434498855,,313,118
displacement,cost_pressure,cost,3,primary,macro,100.0,-0.04319805995296585,0.19259763500458082,-0.005384498499864228,3.0,2477,314
displacement,cost_pressure,cost,3,primary,bandit,100.0,0.0,0.047403708003865175,0.0,,1800,78
displacement,cost_pressure,cost,3,primary,foraging,100.0,-0.07702361430964255,0.26732214960170386,-0.07051204386732939,,364,118
displacement,cost_pressure,cost,3,primary,solvability,100.0,-0.05257056554925499,0.26306704740817344,0.0543585483677367,,313,118
displacement,progress_solvability,progress_solvability,4,primary,macro,0.01,0.21474527558238451,0.20552665628810296,0.5010318411208026,3.0,2477,314
displacement,progress_solvability,progress_solvability,4,primary,bandit,0.01,0.13792682362673525,0.4227249508623746,0.47412804985519036,,1800,78
displacement,progress_solvability,progress_solvability,4,primary,foraging,0.01,0.18266189956860046,0.13840505293089672,0.43833455213060324,,364,118
displacement,progress_solvability,progress_solvability,4,primary,solvability,0.01,0.3236471035518178,0.05544996507103748,0.5906329213766143,,313,118
displacement,estimated_continue_value,continuation_value,5,control,macro,0.01,-0.7456271603204302,0.6620924490586383,0.2702983028908118,3.0,2477,314
displacement,estimated_continue_value,continuation_value,5,control,bandit,0.01,0.009138690766055002,0.3318399834923006,0.27198913782399164,,1800,78
displacement,estimated_continue_value,continuation_value,5,control,foraging,0.01,-0.8469486824701165,1.0033061831943155,0.1660661990219254,,364,118
displacement,estimated_continue_value,continuation_value,5,control,solvability,0.01,-1.3990714892572291,0.6511311804892991,0.3728395718265184,,313,118
displacement,estimated_outside_value,outside_option,5,control,macro,0.01,-0.03848217380532767,0.7434145406155336,0.06704039422537632,3.0,2477,314
displacement,estimated_outside_value,outside_option,5,control,bandit,0.01,0.0,0.13301988589589278,0.0,,1800,78
displacement,estimated_outside_value,outside_option,5,control,foraging,0.01,-0.10986243779694704,1.0942395537256886,0.05380724563312081,,364,118
displacement,estimated_outside_value,outside_option,5,control,solvability,0.01,-0.005584083619035951,1.0029841822250194,0.14731393704300813,,313,118
displacement,termination_advantage,derived_termination,5,control,macro,0.01,-0.4632894073410904,1.4599108057600247,-0.006164707988232876,3.0,2477,314
displacement,termination_advantage,derived_termination,5,control,bandit,0.01,-0.668087137602239,0.5586432763568067,-0.04181823454222191,,1800,78
displacement,termination_advantage,derived_termination,5,control,foraging,0.01,-0.25365188980896525,2.1150047896837916,-0.16339626124420134,,364,118
displacement,termination_advantage,derived_termination,5,control,solvability,0.01,-0.4681291946120669,1.7060843512394754,0.18672037182172463,,313,118
l22,history_finite_prediction,history,1,primary,macro,100.0,0.3713424130432666,1.478664888090018,0.7125744529996428,3.0,2477,314
l22,history_finite_prediction,history,1,primary,bandit,100.0,0.14975196701630966,1.5442032226466997,0.5587262545587701,,1800,78
l22,history_finite_prediction,history,1,primary,foraging,100.0,0.45084307543841695,0.5933213416311796,0.856595755754826,,364,118
l22,history_finite_prediction,history,1,primary,solvability,100.0,0.5134321966750732,2.2984700999921746,0.7224013486853322,,313,118
l22,history_summary,history,1,primary,macro,0.01,0.2949412581456647,0.2960363616433615,0.5242366198469173,3.0,2477,314
l22,history_summary,history,1,primary,bandit,0.01,0.06884795254813925,0.4774245816199229,0.32759470127556845,,1800,78
l22,history_summary,history,1,primary,foraging,0.01,0.21346793444509615,0.3052659801741952,0.46207853216303,,364,118
l22,history_summary,history,1,primary,solvability,0.01,0.6025078874437586,0.10541852313596645,0.7830366261021533,,313,118
l22,history_recent_outcomes,history,1,primary,macro,10.0,0.0675579174679261,3.4016502089361005,0.49962886146901536,3.0,2477,314
l22,history_recent_outcomes,history,1,primary,bandit,10.0,0.2438412632396849,5.469193298622102,0.5380217422369831,,1800,78
l22,history_recent_outcomes,history,1,primary,foraging,10.0,-0.06107888166624087,4.296039030094672,0.2095690587375266,,364,118
l22,history_recent_outcomes,history,1,primary,solvability,10.0,0.01991137083033423,0.4397182980915281,0.7512957834325363,,313,118
l22,history_recent_choices,history,1,primary,macro,0.01,0.3940163467024373,0.2862497977387628,0.6707190895832661,3.0,2477,314
l22,history_recent_choices,history,1,primary,bandit,0.01,0.2326477561111543,0.361629711946177,0.570543275594173,,1800,78
l22,history_recent_choices,history,1,primary,foraging,0.01,0.44749334918240935,0.25477585596454716,0.7219806177751474,,364,118
l22,history_recent_choices,history,1,primary,solvability,0.01,0.5019079348137482,0.2423438253055643,0.7196333753804777,,313,118
