stage,model,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes,sampled_choice_log_loss,delta_r_squared_neural_given_behavior,delta_r_squared_behavior_given_neural
l21,behavioral_only,100.0,0.7589083451449303,0.8454806381665101,0.8721834649694798,3,2477,314,0.5507459183094976,0.15464691134197261,0.23254695677238024
l21,neural_only,1.0,0.6810082997145227,1.1542054863528175,0.8270011054663234,3,2477,314,0.5413654914840225,0.15464691134197261,0.23254695677238024
l21,combined,0.01,0.913555256486903,0.29224179342644013,0.9563082859479325,3,2477,314,0.49599783024620425,0.15464691134197261,0.23254695677238024
displacement,behavioral_only,100.0,0.7589083451449303,0.8454806381665101,0.8721834649694798,3,2477,314,0.5507459183094976,0.18816556225786807,0.13176444627328743
displacement,neural_only,0.01,0.815309461129511,0.6431772764551411,0.9010228085552465,3,2477,314,0.5014946171308967,0.18816556225786807,0.13176444627328743
displacement,combined,0.1,0.9470739074027984,0.18920982521412966,0.9731340903481418,3,2477,314,0.4801406935228097,0.18816556225786807,0.13176444627328743
l22,behavioral_only,100.0,0.7589083451449303,0.8454806381665101,0.8721834649694798,3,2477,314,0.5507459183094976,0.1832735258077035,0.12788891133104952
l22,neural_only,0.01,0.8142929596215843,0.6596827368885037,0.9009848136331374,3,2477,314,0.5143468946009924,0.1832735258077035,0.12788891133104952
l22,combined,0.1,0.9421818709526338,0.2186809067950012,0.9706623816825983,3,2477,314,0.48059095738327046,0.1832735258077035,0.12788891133104952
