stage,target,random_subspace,random_r_squared,random_mse,random_pearson_r,persistence_rank4_r_squared,random_meets_or_exceeds_persistence,random_r_squared_mean,random_r_squared_95th,persistence_percentile_among_random,empirical_p_value
l21,history_finite_prediction,0,-0.35998693032368356,2.5502791208372027,0.49684969473828017,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,0,0.4938417092834957,0.2169287429048826,0.7126566117380969,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,0,0.02718753521912139,3.909816572054512,0.25890562255724014,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,0,0.8948527763300106,0.049982517731802956,0.954012141527155,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,0,0.6962355012305143,0.11843378044243857,0.9119026340142041,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,0,0.020115101019898846,0.20006877795248426,0.15798148348749616,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,0,0.16503534414940968,0.22253454639959735,0.47341303248260064,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,0,-0.4482505846498343,0.5414884600130411,0.22632900788823848,-0.47305469386488525,True,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,0,-0.03237062156235108,0.8122277490102351,0.105682248921108,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,0,-0.5719267291185103,1.307162080507888,0.26976292123664714,-0.13057366916992627,False,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,1,-0.27892234310648395,2.47212512571026,0.14492491255099657,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,1,0.3629739046623744,0.2578884497705383,0.5825149635242366,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,1,0.16683401901299555,3.406235881895587,0.4838954429609321,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,1,0.5467635968657596,0.2122019882114772,0.7416502025106682,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,1,0.40893348056959944,0.22152059937437615,0.7267834440354829,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,1,-0.03266149476983715,0.18301556291982102,0.04863870942075207,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,1,0.18918180609886814,0.20824452802879348,0.44319288045639976,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,1,-0.2827760219575176,0.4766320438755424,0.40030442696298696,-0.47305469386488525,True,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,1,-0.11102985778359294,0.8049344048072555,0.00899371102526178,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,1,-0.08290430848957135,1.0875168145080043,0.3684405436475265,-0.13057366916992627,True,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,2,-0.04499664346687978,2.527082335708672,0.4550756322318081,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,2,0.5871658068913256,0.17275375697296722,0.7749673646333454,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,2,0.14357139117005732,3.269734074303946,0.506015659481695,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,2,0.6383693416687418,0.16988643307017084,0.8859833717605654,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,2,0.5061169366451845,0.19628822280386884,0.8475183307494826,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
