stage,target,heldout_task,source_tasks,selected_alpha,heldout_target_variance,constant_heldout_target,r_squared,mse,pearson_r,tasks,states,episodes,between_task_variance_fraction,median_leave_one_task_out_r_squared,flagged
l21,history_finite_prediction,bandit,foraging;solvability,100.0,2.147668281357355,False,-1.1446070919000668,3.894991877842517,0.3910219418110552,1,1800,78,0.41427805180540794,-0.9204860601102685,False
l21,history_summary,bandit,foraging;solvability,0.01,0.577700360853681,False,-0.43210877352941846,0.7342774296717112,0.3710024107376318,1,1800,78,0.0391713751067428,-0.43210877352941846,False
l21,time_effort,bandit,foraging;solvability,0.01,0.5102885855672427,False,-1.523533546623959,1.9156304658778034,0.6649405826386126,1,1800,78,0.5048714396085984,-1.523533546623959,False
l21,cost_pressure,bandit,foraging;solvability,0.01,0.0,True,0.0,0.11670259696855503,0.0,1,1800,78,0.39365120078201793,-0.03794636276360164,False
l21,progress_solvability,bandit,foraging;solvability,0.01,0.8966637556566972,False,-0.07013716101151068,0.5247509042187399,0.010452580648444032,1,1800,78,0.005481396272037008,-0.07013716101151068,False
l21,estimated_continue_value,bandit,foraging;solvability,0.01,0.27371279196403486,False,-2.2474785674363966,1.0875823126476114,-0.05608068102284378,1,1800,78,0.24954214909815886,-4.156644205790838,False
l21,estimated_outside_value,bandit,foraging;solvability,0.01,0.0,True,0.0,0.46486921137970433,0.0,1,1800,78,0.40832831548104387,-0.26901620975494644,False
l21,termination_advantage,bandit,foraging;solvability,0.01,0.27371279196403486,False,-0.3191988560871071,0.4418004038985546,0.1671576045120346,1,1800,78,0.3428498283809953,-0.6578039390620278,False
l21,history_finite_prediction,foraging,bandit;solvability,100.0,1.0908929686472644,False,-0.9204860601102685,2.0749358057868243,0.7519335592184764,1,364,118,0.41427805180540794,-0.9204860601102685,False
l21,history_summary,foraging,bandit;solvability,100.0,0.41709342549634587,False,-0.15964495046074956,0.45007720340900176,-0.11176475607967937,1,364,118,0.0391713751067428,-0.43210877352941846,False
l21,time_effort,foraging,bandit;solvability,100.0,0.40576871383043617,False,0.04430791505063025,0.37381614634461086,0.3084830497573905,1,364,118,0.5048714396085984,-1.523533546623959,False
l21,cost_pressure,foraging,bandit;solvability,100.0,0.24178088395121364,False,-0.03794636276360164,0.25762299839923924,0.08875819151119131,1,364,118,0.39365120078201793,-0.03794636276360164,False
l21,progress_solvability,foraging,bandit;solvability,100.0,0.18660136542655187,False,-0.15953782534476835,0.19635190627662338,-0.36155292099647984,1,364,118,0.005481396272037008,-0.07013716101151068,False
l21,estimated_continue_value,foraging,bandit;solvability,100.0,0.5616213214299481,False,-4.156644205790838,2.8012110273057345,-0.12587686771480544,1,364,118,0.24954214909815886,-4.156644205790838,False
l21,estimated_outside_value,foraging,bandit;solvability,0.01,0.9853882381354905,False,-0.26901620975494644,1.2511530111689102,0.04272219659440584,1,364,118,0.40832831548104387,-0.26901620975494644,False
l21,termination_advantage,foraging,bandit;solvability,0.01,1.6463852579992222,False,-0.6578039390620278,2.7968396171022714,0.03715528007131228,1,364,118,0.3428498283809953,-0.6578039390620278,False
l21,history_finite_prediction,solvability,bandit;foraging,100.0,8.616278456609193,False,-0.262716556005373,5.964875252556109,0.33266920366461367,1,313,118,0.41427805180540794,-0.9204860601102685,False
l21,history_summary,solvability,bandit;foraging,0.01,0.40239594794289424,False,-1.401548899639367,0.6369126084306049,-0.01349030916596434,1,313,118,0.0391713751067428,-0.43210877352941846,False
l21,time_effort,solvability,bandit;foraging,0.01,0.34546880661498935,False,-15.729302843749931,3.6851327793756616,-0.20256459624143391,1,313,118,0.5048714396085984,-1.523533546623959,False
l21,cost_pressure,solvability,bandit;foraging,100.0,0.24956874113239902,False,-0.8005504574533373,0.45000830163297995,0.11199335602321454,1,313,118,0.39365120078201793,-0.03794636276360164,False
l21,progress_solvability,solvability,bandit;foraging,100.0,0.14473245749367863,False,0.06533533104958966,0.0766273398378264,0.5340091830673682,1,313,118,0.005481396272037008,-0.07013716101151068,False
l21,estimated_continue_value,solvability,bandit;foraging,0.01,0.2675592728195324,False,-7.085564013541802,2.194500190858956,-0.17890326633134906,1,313,118,0.24954214909815886,-4.156644205790838,False
l21,estimated_outside_value,solvability,bandit;foraging,0.01,0.9946003327583215,False,-0.6458568726866303,1.6416015690801438,0.10034917494872587,1,313,118,0.40832831548104387,-0.26901620975494644,False
l21,termination_advantage,solvability,bandit;foraging,0.01,1.2079322317422365,False,-3.9491084254434536,5.751262537536842,0.1735096604524029,1,313,118,0.3428498283809953,-0.6578039390620278,False
displacement,history_finite_prediction,bandit,foraging;solvability,100.0,2.147668281357355,False,-3.396876895705054,7.98551858814921,0.6112750773478933,1,1800,78,0.41427805180540794,-0.023101354273708852,False
displacement,history_summary,bandit,foraging;solvability,0.01,0.577700360853681,False,-1.1256772473588161,1.089887063295899,0.41527682211125827,1,1800,78,0.0391713751067428,-0.1184206149664444,False
displacement,time_effort,bandit,foraging;solvability,10.0,0.5102885855672427,False,-2.1345789715848524,2.379478958661388,0.5452965897521087,1,1800,78,0.5048714396085984,-2.1345789715848524,False
displacement,cost_pressure,bandit,foraging;solvability,100.0,0.0,True,0.0,0.3807983464449801,0.0,1,1800,78,0.39365120078201793,-0.28281949919815697,False
