heldout_task,model,sharing,requested_pairs,adaptation_pairs,adaptation_recorded_episodes,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states
bandit,finite_history,fully_shared,0,0,0,3.744095782563163,0.645199400662282,0.29019214372453944,3.744095782563163,1.3814547123873802,1,1800
bandit,finite_history,fully_shared,1,1,1,0.604217339290269,0.201109616272393,0.3379137204915985,0.6042173392902689,0.6119016792309752,1,1800
bandit,finite_history,fully_shared,4,4,4,0.158078455537938,0.036670059107868,0.8151467130590556,0.15807845553793806,0.4218376658840137,1,1800
bandit,finite_history,fully_shared,8,8,8,0.168002848299737,0.03952221770853,0.8198921721456193,0.16800284829973716,0.4154278548557599,1,1800
bandit,finite_history,fully_shared,16,16,16,0.152749550640402,0.036794894600213,0.830537158408764,0.15274955064040213,0.41245352920928635,1,1800
bandit,finite_history,fully_shared,32,32,32,0.149728747915163,0.035950320799084,0.8303735218885376,0.14972874791516272,0.41497671055763674,1,1800
bandit,finite_history,hierarchical,0,0,0,5.117546392277379,0.690171361959648,0.2910275512225371,5.1175463922773785,1.7667944929734671,1,1800
bandit,finite_history,hierarchical,1,1,1,0.198463295326543,0.034611495469404,0.8170371454900913,0.19846329532654283,0.6372219124734685,1,1800
bandit,finite_history,hierarchical,4,4,4,0.147862731251796,0.035295737559923,0.7972931074575191,0.14786273125179636,0.46430056551890514,1,1800
bandit,finite_history,hierarchical,8,8,8,0.146730661343323,0.035294684039331,0.7791466786092618,0.14673066134332266,0.47769661394564283,1,1800
bandit,finite_history,hierarchical,16,16,16,0.137545190986095,0.033513611429146,0.8210936087020179,0.13754519098609522,0.45080719687493026,1,1800
bandit,finite_history,hierarchical,32,32,32,0.135697029425136,0.033581742159252,0.8227170552316319,0.13569702942513553,0.4549357204619036,1,1800
bandit,dual_history,fully_shared,0,0,0,0.564402810565418,0.192079952939254,0.5878728113615419,0.5644028105654175,0.5826229723745193,1,1800
bandit,dual_history,fully_shared,1,1,1,0.173734122350026,0.038640543834286,0.5764871545331622,0.17373412235002644,0.49255252804578237,1,1800
bandit,dual_history,fully_shared,4,4,4,0.183968381524724,0.040502582662948,0.6206776274427057,0.18396838152472425,0.4646486300807536,1,1800
bandit,dual_history,fully_shared,8,8,8,0.177160729837191,0.039307128281829,0.6462221494948799,0.17716072983719097,0.4666196359658497,1,1800
bandit,dual_history,fully_shared,16,16,16,0.165499985991637,0.03710414039587,0.6668920257339959,0.16549998599163745,0.48448362201198,1,1800
bandit,dual_history,fully_shared,32,32,32,0.166480459750752,0.037266036855381,0.6648681003522491,0.16648045975075174,0.48264993348738033,1,1800
bandit,dual_history,hierarchical,0,0,0,0.534725620319474,0.177899202552705,0.635120703464788,0.5347256203194741,0.5571708895278017,1,1800
bandit,dual_history,hierarchical,1,1,1,0.157810117940754,0.035970897188277,0.6205742780615102,0.15781011794075445,0.5612856810825642,1,1800
bandit,dual_history,hierarchical,4,4,4,0.164241451928997,0.036702885034904,0.6407058762735659,0.1642414519289972,0.5069052878576942,1,1800
bandit,dual_history,hierarchical,8,8,8,0.157365388556037,0.035863369991798,0.657879098448898,0.15736538855603677,0.5217109121879838,1,1800
bandit,dual_history,hierarchical,16,16,16,0.152394256309468,0.035293401057964,0.6672149925502322,0.15239425630946843,0.5705341530368343,1,1800
bandit,dual_history,hierarchical,32,32,32,0.152403997728791,0.035280932488666,0.6708795893584587,0.15240399772879124,0.5579890931874288,1,1800
bandit,latent_commitment,fully_shared,0,0,0,0.5952524084068,0.201621907180951,0.5639302047178993,0.5952524084068003,0.591174373509832,1,1800
bandit,latent_commitment,fully_shared,1,1,1,0.184765448618409,0.03946697737358,0.4580229263377285,0.18476544861840902,0.49984985425732814,1,1800
bandit,latent_commitment,fully_shared,4,4,4,0.189390250464096,0.0402432092724,0.6164747526074188,0.18939025046409608,0.4745408545301615,1,1800
bandit,latent_commitment,fully_shared,8,8,8,0.175676622718565,0.037864401812042,0.7064059391444393,0.17567662271856505,0.48537403452842454,1,1800
bandit,latent_commitment,fully_shared,16,16,16,0.16650261239489,0.036570974057338,0.7332681658068572,0.16650261239489048,0.5003849084533691,1,1800
bandit,latent_commitment,fully_shared,32,32,32,0.168803479362317,0.03687094399508,0.7324155334119937,0.16880347936231696,0.4955930803243548,1,1800
bandit,latent_commitment,hierarchical,0,0,0,1.478451768570479,0.525439242401759,0.25120358966850687,1.4784517685704794,0.8243712520046719,1,1800
bandit,latent_commitment,hierarchical,1,1,1,0.216878326159459,0.052082183414276,0.4816770159588669,0.21687832615945885,0.5779734236215122,1,1800
bandit,latent_commitment,hierarchical,4,4,4,0.206870694759083,0.047732510117867,0.4931229599262774,0.20687069475908296,0.5047141826246015,1,1800
bandit,latent_commitment,hierarchical,8,8,8,0.156019084819701,0.036050295619166,0.6564408195605929,0.1560190848197008,0.5358986751486652,1,1800
bandit,latent_commitment,hierarchical,16,16,16,0.149551768685706,0.035592958234941,0.7416265470110497,0.1495517686857061,0.5430349422240226,1,1800
bandit,latent_commitment,hierarchical,32,32,32,0.147472520509478,0.035436394292383,0.747616504896177,0.14747252050947837,0.5281682151979674,1,1800
bandit,flexible_linear,fully_shared,0,0,0,3.884587090069532,0.673793743134321,0.29476535384244384,3.884587090069532,1.4573013391346317,1,1800
bandit,flexible_linear,fully_shared,1,1,1,1.002990024739661,0.279507039512001,0.30727062896710905,1.0029900247396613,0.8455615337475353,1,1800
bandit,flexible_linear,fully_shared,4,4,4,0.152773069361892,0.036215838743409,0.7548423491314347,0.15277306936189242,0.4745522121895716,1,1800
bandit,flexible_linear,fully_shared,8,8,8,0.155430683449902,0.037118389681398,0.7637303959142544,0.15543068344990246,0.45479142459546823,1,1800
bandit,flexible_linear,fully_shared,16,16,16,0.14105351234115,0.034759307246151,0.7997605739335636,0.14105351234115013,0.4573417373212133,1,1800
