feature_group,task,metric,estimate,ci_low,ci_high,samples,clusters
history,bandit,delta_r_squared,0.19007047033004074,0.14979702185125043,0.23197787880521653,2000,78
history,bandit,delta_mse,0.43760973856829877,0.3393921878935554,0.5388156299964514,2000,78
history,bandit,delta_log_loss,0.04281983610809242,0.010835824363372814,0.06930070096023941,2000,78
history,foraging,delta_r_squared,0.04137204310978817,0.01572284335182342,0.07308818411323621,2000,59
history,foraging,delta_mse,0.06260112413953245,0.024748123367062155,0.10689926035050944,2000,59
history,foraging,delta_log_loss,-0.004606480176288577,-0.021910028565052222,0.012725912418596396,2000,59
history,solvability,delta_r_squared,0.22526635528557182,0.15957092064731565,0.31035375807439913,2000,59
history,solvability,delta_mse,1.5011505494988293,1.013557467032434,2.121841252111994,2000,59
history,solvability,delta_log_loss,0.05948755206389535,0.008713486864414345,0.11458031378269463,2000,59
history,macro,delta_r_squared,0.15223628957513358,0.12497701890323747,0.18461708640911678,2000,196
history,macro,delta_mse,0.6671204707355536,0.49868768213827874,0.8776872377124056,2000,196
history,macro,delta_log_loss,0.032566969331899724,0.012717557812835316,0.05380775189901402,2000,196
time_effort,bandit,delta_r_squared,0.18811742379219737,0.12042528412662407,0.2672405729584925,2000,78
time_effort,bandit,delta_mse,0.43482927904222196,0.2627755411719006,0.6347841521337412,2000,78
time_effort,bandit,delta_log_loss,0.0234629682697271,0.009665026096188424,0.03866892761484095,2000,78
time_effort,foraging,delta_r_squared,0.0005470327305108327,-0.00016616762324191128,0.0014556938799647147,2000,59
time_effort,foraging,delta_mse,0.0008315153349003598,-0.0002596148066507063,0.0021803419368417805,2000,59
time_effort,foraging,delta_log_loss,8.54464624297702e-05,-0.0003430461051031175,0.0005676899355190884,2000,59
time_effort,solvability,delta_r_squared,0.0006438198316873984,-0.0015071804993910894,0.0024094803577601872,2000,59
time_effort,solvability,delta_mse,0.004416718196568088,-0.009678120192609399,0.01683355139747056,2000,59
time_effort,solvability,delta_log_loss,0.002096570491693786,-0.0008006883942751299,0.005334209021028235,2000,59
time_effort,macro,delta_r_squared,0.06310275878479853,0.0402745673867808,0.0896333299071099,2000,196
time_effort,macro,delta_mse,0.14669250419123014,0.08893928960639007,0.21490686103496964,2000,196
time_effort,macro,delta_log_loss,0.00854832840795022,0.0038872126848236007,0.01373597859528743,2000,196
continuation_value,bandit,delta_r_squared,-2.177871414044345e-10,-8.763971860946954e-10,3.8743000298436893e-10,2000,78
continuation_value,bandit,delta_mse,-4.924423281094103e-10,-1.9554866004245496e-09,8.851830199385591e-10,2000,78
continuation_value,bandit,delta_log_loss,-7.85710625172964e-11,-4.165822145574261e-10,2.4515981328354637e-10,2000,78
