model,information_set,sharing,best_flexible_reference,fraction_best_flexible_r_squared_raw,delta_r_squared_best_flexible_minus_model,fraction_reducible_choice_log_loss,raw_r_squared,raw_log_loss
intercept,observable,fully_shared,flexible_linear,-1.172211440592152,1.1406021750960549,0.0,-0.6155141685688805,0.8395485671732382
time,observable,fully_shared,flexible_linear,-0.6274491184344694,0.854554013323163,0.18460264111777133,-0.32946600679598853,0.7714105615300376
previous_outcome,observable,fully_shared,flexible_linear,-1.016139008801269,1.0586504130131318,0.20202707011070792,-0.5335624064859573,0.764979094277666
streak,observable,fully_shared,flexible_linear,-0.8980109580028737,0.9966227903044615,0.21540454826365132,-0.47153478377728714,0.7600413822473406
choice_inertia,observable,fully_shared,flexible_linear,-0.5571198658373205,0.8176249662763799,0.2474937376582453,-0.2925369597492055,0.748197058922304
finite_history,observable,fully_shared,flexible_linear,-0.5511748262368391,0.8145032972838381,0.24542721147955382,-0.2894152907566636,0.7489598268414026
rescorla_wagner,observable,fully_shared,flexible_linear,0.5368269906917691,0.2432065921348514,0.7775491264109641,0.28188141439232306,0.5525502531596495
bayesian,observable,fully_shared,flexible_linear,0.5462985775332653,0.23823317548160117,0.7686527779311513,0.2868548310455733,0.555833951806922
value_history_hybrid,observable,fully_shared,flexible_linear,1.0540765141090074,-0.02839492899343732,0.938357618661621,0.5534829355206118,0.49319481877309873
termination_advantage,observable,fully_shared,flexible_linear,-0.8322164220824472,0.9620748685976243,0.21658119445770438,-0.4369868620704498,0.7596070746744642
sticky_termination,observable,fully_shared,flexible_linear,-0.47088540462645856,0.7723442849452236,0.32512107760257664,-0.24725627841804906,0.7195443154124264
decomposed_meta_control,observable,fully_shared,flexible_linear,-0.629253805215924,0.855501632707643,0.1698747087470158,-0.3304136261804685,0.7768467347771527
mvt_like_foraging_threshold,observable,fully_shared,flexible_linear,1.3649127167886483,-0.19161129101496677,0.5316746800753189,0.7166992975421412,0.6433040707133691
disengagement_accumulator,observable,fully_shared,flexible_linear,-0.8322164220824472,0.9620748685976243,0.21658119445770438,-0.4369868620704498,0.7596070746744642
latent_commitment,observable,fully_shared,flexible_linear,-0.767265808252439,0.9279700802589089,0.21253708983688854,-0.40288207373173446,0.7610997793389606
generic_latent_value,observable,fully_shared,flexible_linear,-0.8322164220824472,0.9620748685976243,0.21658119445770438,-0.4369868620704498,0.7596070746744642
flexible_linear,observable,fully_shared,flexible_linear,1.0,0.0,0.6844376308259333,0.5250880065271745,0.5869182967217786
oracle_policy,observable,fully_shared,flexible_linear,1.904442660219564,-0.47491199347282553,1.0,1.0,0.47044222486619364
intercept,observable,shared_architecture_task_observation,gru,-0.0020478455515451346,0.8987235774918024,0.0,-0.0018366858313260497,0.7050187576401626
time,observable,shared_architecture_task_observation,gru,0.47417767296744223,0.47160315245790924,0.3557103241518196,0.4252837392025672,0.6215774631287242
previous_outcome,observable,shared_architecture_task_observation,gru,0.5159060073920425,0.4341775563016606,0.3553302521702944,0.4627093353588158,0.6216666190963549
streak,observable,shared_architecture_task_observation,gru,0.5138430395126954,0.4360278051505637,0.349515473081735,0.4608590865099127,0.6230306298137958
choice_inertia,observable,shared_architecture_task_observation,gru,0.7773027584852817,0.1997342367234981,0.6324720383058021,0.6971526549369783,0.5566556598179027
finite_history,observable,shared_architecture_task_observation,gru,0.7826531916026552,0.19493550339581966,0.6283332612974849,0.7019513882646568,0.5576265197784384
rescorla_wagner,observable,shared_architecture_task_observation,gru,0.31428869906934875,0.6150054772681534,0.6499733911039913,0.28188141439232306,0.5525502531596495
bayesian,observable,shared_architecture_task_observation,gru,0.31983389846906635,0.6100320606149031,0.6359749804000673,0.2868548310455733,0.555833951806922
value_history_hybrid,observable,shared_architecture_task_observation,gru,0.6171156482127929,0.34340395613986463,0.9030056688201252,0.5534829355206118,0.49319481877309873
termination_advantage,observable,shared_architecture_task_observation,gru,0.05865815719876078,0.8442771593799483,-0.003887796400677812,0.052609732280528156,0.7059307434399648
sticky_termination,observable,shared_architecture_task_observation,gru,0.40110770898722065,0.5371386453258731,0.2692451858296577,0.3597482463346033,0.6418601554821586
decomposed_meta_control,observable,shared_architecture_task_observation,gru,0.6291050553168256,0.3326508140694766,0.5868982167571479,0.5642360775909998,0.5673462088620456
mvt_like_foraging_threshold,observable,shared_architecture_task_observation,gru,0.7990966354913049,0.18018759411833518,0.26308977371687875,0.7166992975421412,0.6433040707133691
disengagement_accumulator,observable,shared_architecture_task_observation,gru,0.05865815719876078,0.8442771593799483,-0.003887796400677812,0.052609732280528156,0.7059307434399648
latent_commitment,observable,shared_architecture_task_observation,gru,0.16084704038053663,0.7526252895807898,0.16197389137203766,0.14426160207968663,0.6670234838022026
generic_latent_value,observable,shared_architecture_task_observation,gru,0.05865815719876078,0.8442771593799483,-0.003887796400677812,0.052609732280528156,0.7059307434399648
flexible_linear,observable,shared_architecture_task_observation,gru,0.9365902619063161,0.056871362899849065,0.7889535857522463,0.8400155287606274,0.5199487609748105
