model,selected_penalty,validation_log_loss,test_log_loss,test_brier,test_auc,performance_fraction,states,episodes
baseline,0.01,0.5939068748548646,0.5961189151017215,0.2044476497123997,0.7917675268326102,0.0,2477,314
task_specific,0.01,0.4789019190529448,0.48003000916773964,0.1562835227955311,0.8998941919768593,1.0,2477,314
shared_history,0.01,0.48820293123725667,0.4923781483464822,0.15987298543509476,0.8878670929435944,0.8936320479601663,2477,314
shared_stay_switch,0.01,0.4941673785912373,0.47823167259062654,0.15455781633557036,0.8986153611935754,1.0154910287304781,2477,314
fully_shared,0.01,0.5778398601756779,0.5911395641327424,0.20267694506682618,0.8176288345893279,0.042892565219030086,2477,314
