layer,metric,task_a,task_b,value
25,principal_angle_degrees,foraging,solvability,79.50272859230061
25,task_span_effective_rank,all,all,2.9132071322792985
26,principal_angle_degrees,bandit,foraging,84.09350120538308
26,principal_angle_degrees,bandit,solvability,87.63564504281936
26,principal_angle_degrees,foraging,solvability,81.17794520922341
26,task_span_effective_rank,all,all,2.963530787907986
27,principal_angle_degrees,bandit,foraging,86.04565128017742
27,principal_angle_degrees,bandit,solvability,88.53773287281999
27,principal_angle_degrees,foraging,solvability,78.46106186582321
27,task_span_effective_rank,all,all,2.954221865282075
28,principal_angle_degrees,bandit,foraging,77.33487084561214
28,principal_angle_degrees,bandit,solvability,88.32569895901771
28,principal_angle_degrees,foraging,solvability,88.84827874781077
28,task_span_effective_rank,all,all,2.95079688440489
29,principal_angle_degrees,bandit,foraging,78.04705255351104
29,principal_angle_degrees,bandit,solvability,85.94760904070675
29,principal_angle_degrees,foraging,solvability,83.75070671497798
29,task_span_effective_rank,all,all,2.941865631911088
30,principal_angle_degrees,bandit,foraging,82.08009876030852
30,principal_angle_degrees,bandit,solvability,82.09016893484745
30,principal_angle_degrees,foraging,solvability,80.44681131581494
30,task_span_effective_rank,all,all,2.9377052832493264
31,principal_angle_degrees,bandit,foraging,74.10365715671111
31,principal_angle_degrees,bandit,solvability,85.24619605974551
31,principal_angle_degrees,foraging,solvability,89.58052259235552
31,task_span_effective_rank,all,all,2.917872464605638
