layer,task,analysis,source_task,target_task,variable,r_squared,pearson_r
1,foraging,cross_task_readout,bandit,foraging,persistence_logit,-6.545552490669777,0.78121489234407
1,solvability,cross_task_readout,bandit,solvability,persistence_logit,-2.1496362217800966,-0.02893829039341598
1,bandit,cross_task_readout,foraging,bandit,persistence_logit,-27.964397307794457,-0.3394737259809436
1,solvability,cross_task_readout,foraging,solvability,persistence_logit,-19.759629028222466,0.18545870849916435
1,bandit,cross_task_readout,solvability,bandit,persistence_logit,-56.52334503810045,0.46777967425979705
1,foraging,cross_task_readout,solvability,foraging,persistence_logit,-153.49082610994031,0.5810066864615929
2,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9981846673539619,0.9990919507517579
2,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9460376018522982,0.9727027885242551
2,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9981711881965675,0.99908525954603
2,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9451772360319969,0.9722220615929844
2,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.8808589388623175,0.9385609207282183
2,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9504838560123302,0.974945101215983
2,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.6091123234819777,0.7909698763932439
2,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.7056518219445596,0.8442676068949223
2,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9997787166853416,0.9998920402452317
2,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9785186828277274,0.9893960196783732
2,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.998850374106325,0.9994333406928846
2,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9839274808878798,0.9919674639249123
2,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9665231181349807,0.9837698752718345
2,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9315996511621897,0.9666966207851178
2,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9802378974371628,0.9904841948956319
2,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.33158898426064354,0.6899152671586566
2,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9998962320440178,0.9999487466832067
2,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9515420371796709,0.9760834206581424
2,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.999543778767586,0.9997724483576266
2,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9592262463567582,0.9794543110941533
2,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9284314886384462,0.9643827214286927
2,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9727280020803097,0.9863834324755795
2,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.954901285019649,0.9776997218095086
2,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.5293626832221257,0.752845069105445
2,foraging,cross_task_readout,bandit,foraging,persistence_logit,-397.94462453904964,0.8257063264097424
2,solvability,cross_task_readout,bandit,solvability,persistence_logit,-9.68118152121359,-0.09065641648446734
2,bandit,cross_task_readout,foraging,bandit,persistence_logit,-20.850535872382075,-0.598083147185231
2,solvability,cross_task_readout,foraging,solvability,persistence_logit,-11.248688505379874,-0.34003617226638266
2,bandit,cross_task_readout,solvability,bandit,persistence_logit,-101.34774725179476,-0.73185681275444
2,foraging,cross_task_readout,solvability,foraging,persistence_logit,-49.24375998902151,-0.21520059849113216
3,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9983970836657676,0.9991989149698604
3,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9061325254379469,0.9519990056233592
3,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9986830798284688,0.9993427729257974
3,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9379416722860926,0.9684936374486836
3,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.8979990427211884,0.9476961251924549
3,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9466748553755489,0.9729766651310088
3,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5969817471674723,0.791394325768143
3,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6895308250384126,0.8328660265963204
3,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9999390183366434,0.9999695234965462
3,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.980840754773938,0.99038229294429
3,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9999133994551553,0.9999568532616836
3,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9758128245569236,0.9880330048863781
3,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9804560875921859,0.9902106886480202
3,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9691714186073717,0.9848499339559066
3,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9857757109900608,0.9930828631267326
3,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.5079709786122604,0.7520066793811127
3,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9998706581778597,0.9999353860467441
3,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.946762600750502,0.9730277106997944
3,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.9998636578754375,0.9999325876206018
3,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9568014315088089,0.9781982144254938
3,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9416459310208537,0.9705221428813602
3,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9785063597605415,0.9892406730883777
3,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.9709950068963425,0.9856159133745895
3,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.6897571838268037,0.8432341471962448
3,foraging,cross_task_readout,bandit,foraging,persistence_logit,-30.700266210766756,-0.7016470491808109
3,solvability,cross_task_readout,bandit,solvability,persistence_logit,-4.226696080339235,-0.5996450066404143
3,bandit,cross_task_readout,foraging,bandit,persistence_logit,-230.30918369541826,-0.7116645289962292
3,solvability,cross_task_readout,foraging,solvability,persistence_logit,-1.6249550444588028,0.5287241049957143
3,bandit,cross_task_readout,solvability,bandit,persistence_logit,-258.95326021953673,0.7121439374703775
3,foraging,cross_task_readout,solvability,foraging,persistence_logit,-48.95099773148937,0.20687911774384254
4,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9986496677479978,0.9993246491423106
4,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.8688471118193641,0.932375163462936
4,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9985060239239874,0.9992545831315668
4,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9283152953239555,0.9635749483743336
4,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.895289707581817,0.9462243741993229
4,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9451759404160411,0.9722029548442606
4,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5494958442722955,0.7601660410723874
4,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6832477085121686,0.830757763945232
4,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9999123446666942,0.9999564015256173
4,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9682985597159797,0.9843651009153671
4,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9998911615120168,0.9999459448953091
4,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9818449737545185,0.9909957033979959
4,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9833343671737449,0.9916483118786346
4,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9694664970743033,0.9853778814320606
4,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9846637691766305,0.9924912313480416
4,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.616618301306252,0.7940834837678747
4,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.999907446752567,0.9999542579526216
4,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9304628223145865,0.964669509447126
4,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.9997887999829933,0.9998944650518568
4,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9604675829938543,0.9800818017817945
4,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9463468363538069,0.9732124145541812
4,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9782967761477117,0.9891157705054875
4,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.949137301828651,0.9761625863183556
4,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.6782115697145734,0.8300949342540516
4,foraging,cross_task_readout,bandit,foraging,persistence_logit,-180.50355041505875,0.614589869766804
4,solvability,cross_task_readout,bandit,solvability,persistence_logit,-0.9872127559378685,-0.2596625287488861
4,bandit,cross_task_readout,foraging,bandit,persistence_logit,-52.37924959304924,0.25187625321879686
4,solvability,cross_task_readout,foraging,solvability,persistence_logit,-6.174516295039554,-0.2365199161434151
4,bandit,cross_task_readout,solvability,bandit,persistence_logit,-363.58479276084034,0.7731197116234775
4,foraging,cross_task_readout,solvability,foraging,persistence_logit,-116.94843480171174,0.7930525566850104
5,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9989098424915793,0.9994550309193952
5,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.8780828087344065,0.9371850688281287
5,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9983759340372554,0.9991880974887039
5,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9220858871797926,0.960297134787892
5,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.8948070901465002,0.9459900627321002
5,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9468677676832176,0.9730953679252443
5,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5603813702154565,0.766210669337976
5,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6850268874622796,0.8300298409143271
5,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9999379948934272,0.9999690288221167
5,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9607618602068333,0.9806062026895156
5,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9996048491069481,0.999810337106639
