stage,target,random_subspace,analysis,random_r_squared,persistence_rank4_r_squared,random_r_squared_mean,random_r_squared_95th,persistence_percentile_among_random,empirical_p_value
l21,persistence_policy_change,9,cross_task,-7.9453590838766575,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,9,cross_manipulation,-4.726927013020789,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,9,heldout,-6.039872250189869,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,9,cross_task,-18.725669415086983,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,9,cross_manipulation,-19.805094963666583,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,9,heldout,-0.07189472323157435,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,9,cross_task,-2.4050699955938923,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,9,cross_manipulation,-1.6175607376199281,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,9,heldout,-4.420542048296343,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,9,cross_task,-11.947104067474337,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,9,cross_manipulation,-16.603036442171348,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,9,heldout,-0.1425886610815188,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,9,cross_task,-3.041205400890823,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,9,cross_manipulation,-0.5402401339220765,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,9,heldout,-5.040281840504743,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
l22,gru_prediction_change,9,cross_task,-21.02292831574542,-15.328016506225353,-13.912509165596207,-4.0587385575006625,0.37,0.6336633663366337
l22,gru_prediction_change,9,cross_manipulation,-33.92529701198377,-12.334178939570089,-26.46227144421071,-5.014709900060228,0.66,0.3465346534653465
l21,persistence_policy_change,10,heldout,-0.31013263777162176,0.23289050308386264,-0.35265315208205,0.3129906889921754,0.9,0.10891089108910891
l21,persistence_policy_change,10,cross_task,-4.949613611791196,-4.4847831579800825,-3.743109958875379,-0.6765383065564694,0.34,0.6633663366336634
l21,persistence_policy_change,10,cross_manipulation,-2.8644108939351023,-1.9863721173989817,-3.2177498436495227,-0.39562950365230387,0.62,0.38613861386138615
l21,gru_prediction_change,10,heldout,-1.0570161992194211,-1.6436234306436024,-4.454140620010969,-1.0549812270783459,0.9,0.10891089108910891
l21,gru_prediction_change,10,cross_task,-14.694029323038952,-11.425161616594394,-14.852561420156665,-4.438716065601354,0.51,0.49504950495049505
l21,gru_prediction_change,10,cross_manipulation,-13.856663515087888,-29.194873409991516,-29.069072915317847,-5.674430437210481,0.42,0.5841584158415841
displacement,persistence_policy_change,10,heldout,0.1831353167053712,0.4744023069868788,-0.16334077322455712,0.4274103385709274,0.96,0.04950495049504951
displacement,persistence_policy_change,10,cross_task,-1.5139312080740093,-2.147074898548174,-2.830835460252372,-0.6313505735025678,0.54,0.46534653465346537
displacement,persistence_policy_change,10,cross_manipulation,-0.48563649758286387,-0.3379699144006535,-2.1565288602558113,-0.22927963912215138,0.93,0.07920792079207921
displacement,gru_prediction_change,10,heldout,-2.9434466650176803,-0.5328371451533912,-4.221840797447006,-1.154643984609335,0.99,0.019801980198019802
displacement,gru_prediction_change,10,cross_task,-12.916004589270225,-21.83023025877178,-15.15708613470642,-3.8293579428670688,0.22,0.7821782178217822
displacement,gru_prediction_change,10,cross_manipulation,-16.83749111374421,-17.817717381537854,-29.370686094327702,-5.691167815774268,0.59,0.4158415841584158
l22,persistence_policy_change,10,heldout,0.1694430854946628,0.4435747475809681,-0.2745568363049805,0.39490685361123473,0.95,0.0594059405940594
l22,persistence_policy_change,10,cross_task,-2.31603143231399,-1.9385087438568842,-3.404444747512028,-0.4021812652207115,0.67,0.33663366336633666
l22,persistence_policy_change,10,cross_manipulation,-1.3570227373993133,-0.42942431955243465,-2.5779150642718656,-0.21774892578086288,0.92,0.0891089108910891
l22,gru_prediction_change,10,heldout,-4.299077154875294,-0.7653845206090822,-4.134968470673473,-1.0847240689565578,0.98,0.0297029702970297
