stage,target,heldout_r_squared,mean_cross_task_r_squared,mean_cross_manipulation_r_squared,mean_cross_task_direction_cosine,mean_task_subspace_overlap,delta_heldout_r_squared_vs_l21,delta_mean_cross_task_r_squared_vs_l21,delta_mean_cross_manipulation_r_squared_vs_l21,delta_mean_cross_task_direction_cosine_vs_l21,delta_mean_task_subspace_overlap_vs_l21
l21,persistence_policy_change,0.23289050308386264,-4.4847831579800825,-1.9863721173989817,0.11896988281886008,0.3202388034998332,0.0,0.0,0.0,0.0,0.0
l21,gru_prediction_change,-1.6436234306436024,-11.425161616594394,-29.194873409991516,0.11896988281886008,0.3202388034998332,0.0,0.0,0.0,0.0,0.0
displacement,persistence_policy_change,0.4744023069868788,-2.147074898548174,-0.3379699144006535,0.2504233135763307,0.40801620831437635,0.24151180390301616,2.3377082594319085,1.6484022029983283,0.13145343075747062,0.08777740481454316
displacement,gru_prediction_change,-0.5328371451533912,-21.83023025877178,-17.817717381537854,0.2504233135763307,0.40801620831437635,1.110786285490211,-10.405068642177387,11.377156028453662,0.13145343075747062,0.08777740481454316
l22,persistence_policy_change,0.4435747475809681,-1.9385087438568842,-0.42942431955243465,0.3237148669310915,0.5063251932454788,0.21068424449710546,2.5462744141231983,1.5569477978465471,0.20474498411223147,0.18608638974564556
l22,gru_prediction_change,-0.7653845206090822,-15.328016506225353,-12.334178939570089,0.3237148669310915,0.5063251932454788,0.8782389100345201,-3.9028548896309587,16.86069447042143,0.20474498411223147,0.18608638974564556
