stage,kind,task_a,manipulation_a,task_b,manipulation_b,component,value,direction_1,direction_2,direction_3,direction_4
l22,mean_direction,bandit,stop_outside_option,,,0,2.1251404221833603,0.4733473120785034,1.9758144028231657,0.5153860526914716,-0.350283882634312
l22,mean_direction,foraging,outside_option,,,0,0.5821102727343654,0.4577664825490324,-0.1771767704801566,0.1398564679917266,0.2799120887719299
l22,mean_direction,foraging,search_cost,,,0,0.698071382248485,0.4060566616909845,-0.12846405340396627,0.13543031846179443,0.5362623033880376
l22,mean_direction,solvability,progress_evidence,,,0,1.8514388154400703,1.7904535771884518,-0.27640519508312705,-0.37050940134510285,-0.0917857663102486
l22,direction_cosine,bandit,continue_incentive,bandit,stop_outside_option,0,0.3734567129419187,,,,
l22,sign_agreement,bandit,continue_incentive,bandit,stop_outside_option,0,0.5,,,,
l22,direction_cosine,bandit,continue_incentive,foraging,outside_option,0,0.4177597139602877,,,,
l22,sign_agreement,bandit,continue_incentive,foraging,outside_option,0,0.5,,,,
l22,direction_cosine,bandit,continue_incentive,foraging,search_cost,0,0.3862032194658226,,,,
l22,sign_agreement,bandit,continue_incentive,foraging,search_cost,0,0.5,,,,
l22,direction_cosine,bandit,continue_incentive,solvability,progress_evidence,0,0.752343727394853,,,,
l22,sign_agreement,bandit,continue_incentive,solvability,progress_evidence,0,0.5,,,,
l22,direction_cosine,bandit,stop_outside_option,foraging,outside_option,0,-0.1288164835516619,,,,
l22,sign_agreement,bandit,stop_outside_option,foraging,outside_option,0,0.5,,,,
l22,direction_cosine,bandit,stop_outside_option,foraging,search_cost,0,-0.1211058152829267,,,,
l22,sign_agreement,bandit,stop_outside_option,foraging,search_cost,0,0.5,,,,
l22,direction_cosine,bandit,stop_outside_option,solvability,progress_evidence,0,0.03623694870872069,,,,
l22,sign_agreement,bandit,stop_outside_option,solvability,progress_evidence,0,0.5,,,,
l22,direction_cosine,foraging,outside_option,foraging,search_cost,0,0.9294521463553947,,,,
l22,sign_agreement,foraging,outside_option,foraging,search_cost,0,1.0,,,,
l22,direction_cosine,foraging,outside_option,solvability,progress_evidence,0,0.7340091243713616,,,,
l22,sign_agreement,foraging,outside_option,solvability,progress_evidence,0,0.5,,,,
l22,direction_cosine,foraging,search_cost,solvability,progress_evidence,0,0.5130885003822755,,,,
l22,sign_agreement,foraging,search_cost,solvability,progress_evidence,0,0.5,,,,
l22,task_subspace_principal_angle_degrees,bandit,all,foraging,all,1,58.7701654588194,,,,
l22,task_subspace_principal_angle_degrees,bandit,all,foraging,all,2,89.72754727273343,,,,
l22,task_subspace_overlap,bandit,all,foraging,all,0,0.1344180878167232,,,,
l22,task_subspace_principal_angle_degrees,bandit,all,solvability,all,1,37.130880781983244,,,,
l22,task_subspace_overlap,bandit,all,solvability,all,0,0.6356214366227633,,,,
l22,task_subspace_principal_angle_degrees,foraging,all,solvability,all,1,30.070340228864364,,,,
l22,task_subspace_overlap,foraging,all,solvability,all,0,0.7489360552969498,,,,
