feature_family,full_macro_log_loss,ablated_macro_log_loss,delta_log_loss,selected_penalty
history,0.522967248332276,0.56406907671878,0.041101828386504,0.01
time_effort,0.522967248332276,0.522246574967666,-0.0007206733646100139,0.01
cost,0.522967248332276,0.522890447019434,-7.680131284204528e-05,0.01
progress,0.522967248332276,0.52289272886952,-7.451946275605081e-05,0.01
outside_option,0.522967248332276,0.52296610737763,-1.1409546459839603e-06,0.01
prospective_value,0.522967248332276,0.527914434756791,0.004947186424514971,0.01
