feature_family,macro_log_loss,macro_brier,selected_penalty
history,0.525504544421833,0.1812856827303,0.01
time_effort,0.586845376324287,0.206579684963329,0.01
cost,0.59722776932525,0.21058046116339,0.01
progress,0.593855583378031,0.208014897712786,0.01
outside_option,0.597487799108289,0.210208145998205,0.01
prospective_value,0.568769023469624,0.197959358629841,0.01
