episode_id,state_id,split,round,previous_outcome,cumulative_score,persistence_logit,q_A,q_B,q_STOP,continuation_advantage,best_forced_action,q_A_standard_error,q_B_standard_error,paired_A_minus_B_standard_error,rollouts_per_action,returns_A,returns_B
seed-12402-pa-0.50-pb-0.50,seed-12402-pa-0.50-pb-0.50:1,train,1,-2,-2.0,3.8490769841801082,25.4,10.2,0.0,25.4,A,9.062989450384336,5.853394077133558,9.175813618178802,10,"[22.0,24.0,37.0,14.0,10.0,-2.0,-1.0,1.0,72.0,77.0]","[42.0,12.0,42.0,0.0,-2.0,-2.0,-6.0,-2.0,20.0,-2.0]"
seed-12214-pa-0.50-pb-0.35,seed-12214-pa-0.50-pb-0.35:1,train,1,3,3.0,4.42870067827652,11.9,-1.0,0.0,11.9,A,5.879247873287497,2.3851391759997753,4.731572442410427,10,"[9.0,17.0,25.0,9.0,7.0,3.0,52.0,-15.0,20.0,-8.0]","[3.0,7.0,3.0,4.0,-13.0,-2.0,4.0,-15.0,3.0,-4.0]"
seed-12065-pa-0.65-pb-0.35,seed-12065-pa-0.65-pb-0.35:1,train,1,3,3.0,4.42870067827652,14.0,-7.6,0.0,14.0,A,11.766241729815192,6.498204880324001,13.057309574844787,10,"[0.0,-6.0,-8.0,0.0,11.0,18.0,13.0,-1.0,-4.0,117.0]","[-12.0,3.0,-8.0,10.0,1.0,5.0,-1.0,-63.0,-4.0,-7.0]"
seed-12318-pa-0.65-pb-0.50,seed-12318-pa-0.65-pb-0.50:1,train,1,3,3.0,4.42870067827652,42.9,11.0,0.0,42.9,A,15.570948732959222,5.750362307426086,13.892004095082097,10,"[53.0,16.0,132.0,9.0,82.0,16.0,5.0,112.0,-5.0,9.0]","[2.0,6.0,3.0,5.0,7.0,11.0,4.0,62.0,1.0,9.0]"
seed-12244-pa-0.65-pb-0.65,seed-12244-pa-0.65-pb-0.65:2,train,2,3,6.0,3.201413277982752,44.3,43.9,0.0,44.3,A,15.47259225569882,14.68896032929341,15.712839760314916,10,"[14.0,7.0,119.0,10.0,94.0,114.0,68.0,13.0,-2.0,6.0]","[19.0,12.0,4.0,20.0,114.0,114.0,62.0,2.0,89.0,3.0]"
seed-12036-pa-0.65-pb-0.65,seed-12036-pa-0.65-pb-0.65:2,train,2,3,1.0,4.350412651601648,30.9,38.1,0.0,38.1,B,13.713294441688488,17.92667162513877,14.611867323058563,10,"[56.0,69.0,129.0,42.0,1.0,5.0,0.0,3.0,10.0,-6.0]","[22.0,104.0,134.0,2.0,1.0,0.0,-2.0,-2.0,3.0,119.0]"
seed-12486-pa-0.50-pb-0.35,seed-12486-pa-0.50-pb-0.35:3,train,3,3,4.0,4.21393946547494,11.3,5.8,0.0,11.3,A,8.445972084043639,7.38587240013738,2.4955515978993055,10,"[25.0,8.0,-2.0,31.0,-30.0,1.0,-4.0,71.0,6.0,7.0]","[30.0,-5.0,-2.0,16.0,-30.0,-2.0,1.0,56.0,-2.0,-4.0]"
seed-12291-pa-0.35-pb-0.35,seed-12291-pa-0.35-pb-0.35:3,train,3,3,4.0,4.21393946547494,-3.6,-2.0,0.0,-2.0,B,2.9028721409436318,1.9607254893136987,2.821347195933177,10,"[-4.0,-6.0,-1.0,11.0,6.0,-1.0,-24.0,-6.0,-7.0,-4.0]","[-1.0,-6.0,9.0,-8.0,-1.0,4.0,-13.0,-4.0,1.0,-1.0]"
seed-12523-pa-0.35-pb-0.50,seed-12523-pa-0.35-pb-0.50:4,train,4,3,-3.0,3.0352241504380864,2.7,0.7,0.0,2.7,A,6.779134654708273,2.0604745947367453,7.405703507732701,10,"[43.0,4.0,-37.0,-1.0,-5.0,28.0,-4.0,-2.0,-8.0,9.0]","[-1.0,-4.0,14.0,-2.0,-5.0,10.0,-4.0,-2.0,-3.0,4.0]"
seed-12135-pa-0.50-pb-0.65,seed-12135-pa-0.50-pb-0.65:6,train,6,3,8.0,2.9382616875182244,37.7,36.5,0.0,37.7,A,13.681333593217031,13.834136522867386,5.2191953402799545,10,"[-2.0,-2.0,21.0,117.0,1.0,77.0,82.0,63.0,17.0,3.0]","[-1.0,-2.0,21.0,112.0,1.0,35.0,92.0,87.0,17.0,3.0]"
