stage,model,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes,sampled_choice_log_loss,delta_r_squared_neural_given_behavior,delta_r_squared_behavior_given_neural
l21,behavioral_only,100.0,0.10108251234453276,2.2087732504168565,0.6496313233303431,3,222,30,0.6040917588769097,0.13677301302321138,-0.24159210465347636
l21,neural_only,1.0,0.4794476300212205,1.3962586238233874,0.7757625422171518,3,222,30,0.5081760140090316,0.13677301302321138,-0.24159210465347636
l21,combined,0.01,0.23785552536774413,1.2463298833854808,0.8439816692086982,3,222,30,0.47723563204169817,0.13677301302321138,-0.24159210465347636
displacement,behavioral_only,100.0,0.10108251234453276,2.2087732504168565,0.6496313233303431,3,222,30,0.6040917588769097,0.32540732441457854,-0.31981061982630105
displacement,neural_only,10.0,0.7463004565854123,0.8195254166925302,0.8991310229707984,3,222,30,0.44611070950510046,0.32540732441457854,-0.31981061982630105
displacement,combined,100.0,0.4264898367591113,1.2639520882632522,0.7996049269819547,3,222,30,0.512226423778921,0.32540732441457854,-0.31981061982630105
l22,behavioral_only,100.0,0.10108251234453276,2.2087732504168565,0.6496313233303431,3,222,30,0.6040917588769097,-0.41953819450240804,-1.144124713266199
l22,neural_only,0.01,0.8256690311083236,0.6397837027455581,0.929376886807058,3,222,30,0.4625186510270379,-0.41953819450240804,-1.144124713266199
l22,combined,0.01,-0.3184556821578753,2.0381623811503107,0.7281766048788882,3,222,30,0.4698286000853691,-0.41953819450240804,-1.144124713266199
