stage,target,feature_family,priority,target_role,task,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes
displacement,history_recent_choices,history,1,primary,macro,10.0,0.12418487468898949,0.3742091363481404,0.6617204705974156,3.0,222,30
displacement,history_recent_choices,history,1,primary,bandit,10.0,-0.4199243298205726,0.6325423775040016,0.6020742555700892,,162,6
displacement,history_recent_choices,history,1,primary,foraging,10.0,0.42682842362593465,0.27141067266671237,0.725768783314758,,36,12
displacement,history_recent_choices,history,1,primary,solvability,10.0,0.36565053026160643,0.21867435887370731,0.6573183729073996,,24,12
displacement,time_effort,time_effort,2,primary,macro,0.01,-0.34448168796972006,0.6562467895059624,0.4313013718649071,3.0,222,30
displacement,time_effort,time_effort,2,primary,bandit,0.01,-0.640318889702987,1.4349636420155194,0.28650457522039185,,162,6
displacement,time_effort,time_effort,2,primary,foraging,0.01,0.04541411673285389,0.3648822719699967,0.5756092740496611,,36,12
displacement,time_effort,time_effort,2,primary,solvability,0.01,-0.438540290939027,0.16889445453237126,0.43179026632466844,,24,12
displacement,cost_pressure,cost,3,primary,macro,0.01,-0.3167091089798349,0.2058403289221311,0.10039877293363507,3.0,222,30
displacement,cost_pressure,cost,3,primary,bandit,0.01,0.0,0.09715843968678663,0.0,,162,6
displacement,cost_pressure,cost,3,primary,foraging,0.01,0.004396234957920631,0.24890094126051984,0.17650625831793915,,36,12
displacement,cost_pressure,cost,3,primary,solvability,0.01,-0.9545235618974253,0.2714616058190868,0.12469006048296605,,24,12
displacement,progress_solvability,progress_solvability,4,primary,macro,100.0,0.041009013341014554,0.4283639689453948,0.5195091109758622,3.0,222,30
displacement,progress_solvability,progress_solvability,4,primary,bandit,100.0,-0.05299319240379119,0.8730684018331459,0.3765831585768988,,162,6
displacement,progress_solvability,progress_solvability,4,primary,foraging,100.0,-0.11115856018039283,0.357091826273872,0.510259193603967,,36,12
displacement,progress_solvability,progress_solvability,4,primary,solvability,100.0,0.2871787926072277,0.05493167872916643,0.671684980746721,,24,12
displacement,estimated_continue_value,continuation_value,5,control,macro,10.0,-2.5115564173010427,0.8370846427120746,0.09799874732829628,3.0,222,30
displacement,estimated_continue_value,continuation_value,5,control,bandit,10.0,-0.6087080878513615,0.5285554756098987,-0.05285874514556914,,162,6
displacement,estimated_continue_value,continuation_value,5,control,foraging,10.0,-1.928477672478396,1.2310226475227664,0.06502499577862204,,36,12
displacement,estimated_continue_value,continuation_value,5,control,solvability,10.0,-4.997483491573371,0.7516758050035586,0.2818299913518359,,24,12
displacement,estimated_outside_value,outside_option,5,control,macro,0.01,-0.12885299936573977,0.8407836243726917,0.0632021082479244,3.0,222,30
displacement,estimated_outside_value,outside_option,5,control,bandit,0.01,0.0,0.13579187502085546,0.0,,162,6
displacement,estimated_outside_value,outside_option,5,control,foraging,0.01,-0.12801789549242093,1.128017895492421,0.08182566619722119,,36,12
displacement,estimated_outside_value,outside_option,5,control,solvability,0.01,-0.25854110260479835,1.2585411026047983,0.107780658546552,,24,12
displacement,termination_advantage,derived_termination,5,control,macro,0.01,-0.9294968090253737,1.7636652731415328,0.03757706398669423,3.0,222,30
displacement,termination_advantage,derived_termination,5,control,bandit,0.01,-1.5238323876547732,0.8292277748154082,0.026928029816851384,,162,6
displacement,termination_advantage,derived_termination,5,control,foraging,0.01,-0.3418202917210509,1.669810453923452,-0.1908055125537736,,36,12
displacement,termination_advantage,derived_termination,5,control,solvability,0.01,-0.9228377477002969,2.791957590685738,0.2766086746970049,,24,12
l22,history_finite_prediction,history,1,primary,macro,10.0,0.03146523405471894,2.1531859264170183,0.6793872851310652,3.0,222,30
l22,history_finite_prediction,history,1,primary,bandit,10.0,0.10341396172406458,2.00923881871275,0.5552136805115534,,162,6
l22,history_finite_prediction,history,1,primary,foraging,10.0,-0.5983102355449592,1.5846553710965074,0.6872537989413291,,36,12
l22,history_finite_prediction,history,1,primary,solvability,10.0,0.5892919759850515,2.865663589441798,0.7956943759403131,,24,12
