model,log_loss,auc,brier
bayesian_hybrid,0.45270716051916104,0.8021483267158253,0.1429030855641166
heuristic,0.45534309407194484,0.8048670196004286,0.14451857846759086
rw_hybrid,0.46122742066031014,0.7867712863175144,0.1456612766248247
bayesian,0.4624529543209277,0.7458183651603958,0.14528273127941968
rw,0.4710676008598071,0.7373117161404172,0.14918157872911886
time,0.49898511563973025,0.7529912711917817,0.15995262701901525
