model,reference,log_loss_improvement,ci_low,ci_high,p_two_sided
bayesian_hybrid,heuristic,0.002635933552783828,-0.003232125052351942,0.008298984553960338,0.3788
rw_hybrid,heuristic,-0.0058843265883652615,-0.01080147581424129,-0.0011292612987090962,0.0142
bayesian,heuristic,-0.007109860248982883,-0.018815487536758956,0.0047128534940567655,0.2444
rw,heuristic,-0.01572450678786222,-0.027803462959836475,-0.0031042234643947203,0.016
time,heuristic,-0.04364202156778541,-0.06062424801238492,-0.025159314710236816,0.0
