task,is_persistence_task,immediate_log_loss,finite_history_log_loss,exponential_reward_log_loss,perseveration_log_loss,dual_history_log_loss,mlp_log_loss,gru_log_loss,finite_history_history_gain,exponential_reward_history_gain,perseveration_history_gain,dual_history_history_gain,mlp_history_gain,gru_history_gain,best_history_model,history_log_loss_gain,persistence_gain,control_gain,psh,psh_ci_low,psh_ci_high,psh_bootstrap_unit
bandit,True,0.1526801506984895,0.12885446543864637,0.14917668333011763,0.1423985507033017,0.14044430050174575,0.13138371647285765,0.12642744957412294,0.023825685259843132,0.003503467368371871,0.010281599995187796,0.012235850196743753,0.02129643422563185,0.026252701124366562,gru,0.026252701124366562,0.07188542638813762,0.03558907776159215,0.036296348626545474,-0.011775552795550447,0.08436825004864139,task_identity
foraging,True,0.5830271359218371,0.543626444546536,0.5735950910016294,0.5426237608813195,0.5401109210773516,0.5245944624163322,0.535468822809191,0.03940069137530111,0.00943204492020766,0.04040337504051761,0.04291621484448549,0.05843267350550485,0.04755831311264613,mlp,0.05843267350550485,0.07188542638813762,0.03558907776159215,0.036296348626545474,-0.011775552795550447,0.08436825004864139,task_identity
independent_effort_control,False,0.7277455972322842,0.7486020417942792,0.7471142225451685,0.7120022741357873,0.692156519470692,0.694888197683467,0.708369330275147,-0.02085644456199509,-0.019368625312884302,0.015743323096496842,0.03558907776159215,0.03285739954881717,0.019376266957137123,dual_history,0.03558907776159215,0.07188542638813762,0.03558907776159215,0.036296348626545474,-0.011775552795550447,0.08436825004864139,task_identity
information_sampling,True,0.7911940143709066,0.8241170367683734,0.79143099899623,0.7895524250396687,0.7899747400023556,0.812821330438606,0.7871292398329214,-0.032923022397466806,-0.0002369846253233998,0.0016415893312379248,0.001219274368551071,-0.02162731606769941,0.004064774537985261,gru,0.004064774537985261,0.07188542638813762,0.03558907776159215,0.036296348626545474,-0.011775552795550447,0.08436825004864139,task_identity
partial_reinforcement,True,0.6691721129693067,0.6230246196799424,0.6773526230103257,0.6691760336922629,0.677360927073727,0.5389558393777041,0.622898649097775,0.046147493289364294,-0.008180510041019051,-3.920722956185507e-06,-0.008188814104420294,0.1302162735916026,0.04627346387153164,mlp,0.1302162735916026,0.07188542638813762,0.03558907776159215,0.036296348626545474,-0.011775552795550447,0.08436825004864139,task_identity
solvability,True,0.5297965520386401,0.5163561934453822,0.5039023087766009,0.5243350848782024,0.4949529952503093,0.42462276142106486,0.38933584285741124,0.013440358593257873,0.02589424326203915,0.005461467160437716,0.03484355678833079,0.1051737906175752,0.14046070918122883,gru,0.14046070918122883,0.07188542638813762,0.03558907776159215,0.036296348626545474,-0.011775552795550447,0.08436825004864139,task_identity
