hidden_size,parameter_count,selected_epochs,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states
1,71,100,0.662585253520722,0.234875854873095,0.4740649063763275,0.524898332689113,0.7147332462731544,5,2537
2,153,100,0.724640521212291,0.265682842783302,0.5132166221981406,0.778501137241764,0.7045242005811428,5,2537
4,353,100,0.661872371230623,0.234526443902689,0.4101234952814732,0.5648475784973748,0.6980288900959732,5,2537
8,897,100,0.608612674503728,0.211896441775451,0.5877256984425252,0.39437179584568693,0.6893813793185382,5,2537
16,2561,100,0.560584225338068,0.192667402535961,0.6824882984247489,0.3210489584122976,0.6724272933573063,5,2537
32,8193,100,0.534321137285805,0.184770318822905,0.6948625877163573,0.2718402650971252,0.6550594487002073,5,2537
64,28673,100,0.518847389355271,0.175370942815251,0.7477903402905163,0.24910218685192423,0.6197600885409082,5,2537
