task,manipulation,split,layer,mean_functional_effect,mean_absolute_effect,effect_sd,positive_fraction,pairs,readout_task
solvability,progress_evidence,validation,19,2.6051949003728168,2.60891132167382,1.1954547774722362,0.9736842105263158,38,solvability
solvability,progress_evidence,test,20,2.527223203900547,2.527223203900547,1.0938003720583542,1.0,46,solvability
solvability,progress_evidence,train,20,2.3704337770292288,2.3704337770292288,1.1473792805523826,1.0,308,solvability
solvability,progress_evidence,validation,20,2.5832161580387782,2.5832161580387782,1.1865460414163589,1.0,38,solvability
solvability,progress_evidence,test,21,2.5479271976679394,2.5479271976679394,1.0654021172093449,1.0,46,solvability
solvability,progress_evidence,train,21,2.3915099177267116,2.3923258617488603,1.1236928898246432,0.9967532467532467,308,solvability
solvability,progress_evidence,validation,21,2.584511819738269,2.584511819738269,1.1930297026309367,1.0,38,solvability
solvability,progress_evidence,test,22,2.5620253207831607,2.5620253207831607,1.0574577682115085,1.0,46,solvability
solvability,progress_evidence,train,22,2.3936611420672236,2.3936611420672236,1.1287340782639725,1.0,308,solvability
solvability,progress_evidence,validation,22,2.6052183753413725,2.6052183753413725,1.1624119919217069,1.0,38,solvability
